#,节点,真实群组,预测群组,是否正确
1,user151,社区3,社区3,✓
2,user186,社区1,社区1,✓
3,user152,社区5,社区5,✓
4,user75,社区3,社区3,✓
5,user194,社区2,社区2,✓
6,user170,社区5,社区5,✓
7,user4,社区5,社区5,✓
8,user35,社区1,社区1,✓
9,user117,社区4,社区4,✓
10,user153,社区3,社区3,✓
11,user184,社区3,社区3,✓
12,user12,社区1,社区4,✗
13,user8,社区4,社区4,✓
14,user36,社区6,社区6,✓
15,user46,社区5,社区5,✓
16,user4,社区4,社区4,✓
17,user183,社区5,社区5,✗
18,user22,社区2,社区2,✓
19,user64,社区4,社区4,✓
20,user56,社区6,社区6,✓
21,user56,社区2,社区4,✗
22,user35,社区3,社区3,✓
23,user43,社区4,社区4,✓
24,user185,社区1,社区1,✓
25,user2,社区1,社区1,✓
26,user154,社区3,社区3,✓
27,user89,社区3,社区6,✗
28,user26,社区3,社区3,✓
29,user179,社区3,社区3,✓
30,user61,社区2,社区6,✗
31,user162,社区4,社区4,✓
